codigo_rastreio|tipo_ocorrencia|descricao_ocorrencia|data_ocorrencia|hora_ocorrencia|cpf_destinatario|nome_destinatario|cep_destino|cidade_destino|uf_destino|peso_gramas|valor_declarado
AA100000318BR|RDE|OBJETO RETORNOU AO REMETENTE|16/03/2024|15:00|514.770.538-33|ISABELA FREITAS|90010-160|PORTO ALEGRE|RS|2218|274.40
AA100000319BR|RDE|OBJETO RETORNOU AO REMETENTE|13/03/2024|06:24|980.420.439-40|THIAGO ARAUJO|66015-110|BELEM|PA|168|33.30
AA100000320BR|EXT|OBJETO EXTRAVIADO|18/05/2024|17:55|104.636.815-79|ISABELA FREITAS|20040-020|RIO DE JANEIRO|RJ|1627|99.44
AA100000321BR|IDC|OBJETO DEVOLVIDO AO REMETENTE|14/10/2024|06:02|384.576.205-55|PATRICIA LIMA|40020-010|SALVADOR|BA|4206|137.94
AA100000322BR|BDE|OBJETO ENTREGUE AO DESTINATARIO|16/11/2024|14:56|608.432.562-16|GABRIEL MENDES|66015-110|BELEM|PA|1963|208.67
AA100000323BR|RDE|OBJETO RETORNOU AO REMETENTE|19/03/2024|19:19|957.823.298-32|PATRICIA LIMA|88010-400|FLORIANOPOLIS|SC|4391|454.78
AA100000324BR|IDC|OBJETO DEVOLVIDO AO REMETENTE|15/03/2024|11:20|188.125.205-66|PATRICIA LIMA|50010-000|RECIFE|PE|2342|75.98
AA100000325BR|BDI|OBJETO SAIU PARA ENTREGA AO DESTINATARIO|24/02/2024|10:11|099.499.939-33|JOAO DA SILVA|80010-010|CURITIBA|PR|751|344.07
AA100000326BR|IDC|OBJETO DEVOLVIDO AO REMETENTE|09/03/2024|22:54|975.267.722-33|MARIA SOUZA|69005-010|MANAUS|AM|222|462.72
AA100000327BR|IDC|OBJETO DEVOLVIDO AO REMETENTE|23/04/2024|12:48|312.797.573-66|MARIA SOUZA|74110-010|GOIANIA|GO|3216|360.10
AA100000328BR|IDC|OBJETO DEVOLVIDO AO REMETENTE|09/11/2024|22:41|081.770.388-60|ISABELA FREITAS|69005-010|MANAUS|AM|4328|382.58
AA100000329BR|BDE|OBJETO ENTREGUE AO DESTINATARIO|07/04/2024|15:28|644.726.490-82|THIAGO ARAUJO|59010-000|NATAL|RN|3800|45.22
AA100000330BR|RDE|OBJETO RETORNOU AO REMETENTE|27/02/2024|11:49|982.665.702-79|LUCAS PEREIRA|57020-480|MACEIO|AL|3824|45.09
AA100000331BR|OEC|OBJETO EM ROTA DE ENTREGA|20/12/2024|11:45|111.751.868-92|DIEGO NASCIMENTO|90010-160|PORTO ALEGRE|RS|3217|21.95
AA100000332BR|BDI|OBJETO SAIU PARA ENTREGA AO DESTINATARIO|20/06/2024|10:10|220.644.742-12|LUCAS PEREIRA|01310-100|SAO PAULO|SP|2173|6.10
AA100000333BR|IDC|OBJETO DEVOLVIDO AO REMETENTE|12/09/2024|06:38|733.977.671-99|JOAO DA SILVA|40020-010|SALVADOR|BA|4583|139.06
AA100000334BR|EXT|OBJETO EXTRAVIADO|12/10/2024|12:03|220.502.099-45|PEDRO OLIVEIRA|01310-100|SAO PAULO|SP|992|208.48
AA100000335BR|BDI|OBJETO SAIU PARA ENTREGA AO DESTINATARIO|23/03/2024|15:39|998.279.501-45|CAMILA MARTINS|57020-480|MACEIO|AL|3204|410.13
AA100000336BR|IDC|OBJETO DEVOLVIDO AO REMETENTE|08/10/2024|08:18|721.458.683-39|MARIA SOUZA|20040-020|RIO DE JANEIRO|RJ|4780|364.86
AA100000337BR|EXT|OBJETO EXTRAVIADO|27/09/2024|08:30|946.954.899-52|NATALIA ROCHA|74110-010|GOIANIA|GO|4166|259.85
AA100000338BR|EXT|OBJETO EXTRAVIADO|11/09/2024|21:51|293.430.107-13|NATALIA ROCHA|69005-010|MANAUS|AM|3491|22.75
AA100000339BR|OEC|OBJETO EM ROTA DE ENTREGA|13/10/2024|12:00|344.144.885-01|BRUNO FERREIRA|80010-010|CURITIBA|PR|3344|362.20
AA100000340BR|RDE|OBJETO RETORNOU AO REMETENTE|15/01/2024|11:12|557.702.727-85|THIAGO ARAUJO|29010-330|VITORIA|ES|3491|463.89
AA100000341BR|BDE|OBJETO ENTREGUE AO DESTINATARIO|23/09/2024|15:36|588.039.551-24|JOAO DA SILVA|80010-010|CURITIBA|PR|3173|313.26
AA100000342BR|BDI|OBJETO SAIU PARA ENTREGA AO DESTINATARIO|19/10/2024|18:11|914.504.617-35|THIAGO ARAUJO|59010-000|NATAL|RN|2579|108.07
AA100000343BR|OEC|OBJETO EM ROTA DE ENTREGA|30/03/2024|09:23|031.780.782-35|AMANDA RIBEIRO|88010-400|FLORIANOPOLIS|SC|4389|155.18
AA100000344BR|OEC|OBJETO EM ROTA DE ENTREGA|14/03/2024|09:52|823.076.810-40|NATALIA ROCHA|59010-000|NATAL|RN|813|166.64
AA100000345BR|BDE|OBJETO ENTREGUE AO DESTINATARIO|22/02/2024|22:49|409.435.334-48|BRUNO FERREIRA|29010-330|VITORIA|ES|3713|335.56
AA100000346BR|OEC|OBJETO EM ROTA DE ENTREGA|17/03/2024|11:17|109.881.385-85|RAFAEL RODRIGUES|30130-110|BELO HORIZONTE|MG|2420|287.04
AA100000347BR|BDI|OBJETO SAIU PARA ENTREGA AO DESTINATARIO|06/02/2024|15:39|587.020.701-60|PEDRO OLIVEIRA|69005-010|MANAUS|AM|3310|89.49
AA100000348BR|RDE|OBJETO RETORNOU AO REMETENTE|30/10/2024|20:39|545.381.792-17|ANA COSTA|50010-000|RECIFE|PE|2642|342.24
AA100000349BR|EXT|OBJETO EXTRAVIADO|26/08/2024|21:14|329.456.255-77|JOAO DA SILVA|20040-020|RIO DE JANEIRO|RJ|3993|56.44
AA100000350BR|IDC|OBJETO DEVOLVIDO AO REMETENTE|24/08/2024|11:18|599.281.615-81|PATRICIA LIMA|90010-160|PORTO ALEGRE|RS|3876|200.41
AA100000351BR|IDC|OBJETO DEVOLVIDO AO REMETENTE|02/05/2024|13:35|276.153.966-95|ISABELA FREITAS|88010-400|FLORIANOPOLIS|SC|2034|86.54
AA100000352BR|EXT|OBJETO EXTRAVIADO|09/02/2024|21:07|997.581.724-61|NATALIA ROCHA|20040-020|RIO DE JANEIRO|RJ|4985|385.67
AA100000353BR|IDC|OBJETO DEVOLVIDO AO REMETENTE|16/06/2024|21:41|013.290.227-84|DIEGO NASCIMENTO|74110-010|GOIANIA|GO|4834|223.58
AA100000354BR|BDI|OBJETO SAIU PARA ENTREGA AO DESTINATARIO|14/12/2024|16:19|946.519.098-62|PATRICIA LIMA|01310-100|SAO PAULO|SP|3124|450.54
AA100000355BR|BDE|OBJETO ENTREGUE AO DESTINATARIO|01/01/2024|17:07|403.696.566-66|ISABELA FREITAS|40020-010|SALVADOR|BA|1520|237.44
AA100000356BR|BDI|OBJETO SAIU PARA ENTREGA AO DESTINATARIO|11/10/2024|18:53|562.422.010-27|LARISSA CARVALHO|30130-110|BELO HORIZONTE|MG|793|68.61
AA100000357BR|IDC|OBJETO DEVOLVIDO AO REMETENTE|21/08/2024|19:39|278.687.653-26|NATALIA ROCHA|01310-100|SAO PAULO|SP|4834|249.08
AA100000358BR|EXT|OBJETO EXTRAVIADO|01/05/2024|22:17|689.500.975-19|AMANDA RIBEIRO|88010-400|FLORIANOPOLIS|SC|755|71.04
AA100000359BR|EXT|OBJETO EXTRAVIADO|26/09/2024|14:29|818.913.718-94|NATALIA ROCHA|01310-100|SAO PAULO|SP|2914|267.52
AA100000360BR|BDE|OBJETO ENTREGUE AO DESTINATARIO|28/08/2024|20:32|795.654.420-94|LEONARDO BARBOSA|60150-160|FORTALEZA|CE|603|314.65
AA100000361BR|RDE|OBJETO RETORNOU AO REMETENTE|27/03/2024|07:42|490.471.281-44|CARLOS LIMA|74110-010|GOIANIA|GO|2401|137.61
AA100000362BR|OEC|OBJETO EM ROTA DE ENTREGA|08/01/2024|09:38|292.752.437-28|MARIA SOUZA|80010-010|CURITIBA|PR|791|483.67
AA100000363BR|RDE|OBJETO RETORNOU AO REMETENTE|19/03/2024|21:48|663.723.950-41|MARIA SOUZA|30130-110|BELO HORIZONTE|MG|3901|199.37
AA100000364BR|OEC|OBJETO EM ROTA DE ENTREGA|31/08/2024|13:24|674.286.047-65|GABRIEL MENDES|66015-110|BELEM|PA|436|48.68
AA100000365BR|RDE|OBJETO RETORNOU AO REMETENTE|22/11/2024|17:54|694.544.149-67|JULIANA ALVES|88010-400|FLORIANOPOLIS|SC|4922|385.25
AA100000366BR|RDE|OBJETO RETORNOU AO REMETENTE|21/06/2024|11:20|800.106.181-75|JULIANA ALVES|88010-400|FLORIANOPOLIS|SC|2420|125.95
AA100000367BR|BDE|OBJETO ENTREGUE AO DESTINATARIO|13/01/2024|08:03|939.111.926-92|ANA COSTA|88010-400|FLORIANOPOLIS|SC|1609|126.67
AA100000368BR|IDC|OBJETO DEVOLVIDO AO REMETENTE|04/12/2024|08:40|746.542.140-66|BRUNO FERREIRA|01310-100|SAO PAULO|SP|2215|477.80
AA100000369BR|OEC|OBJETO EM ROTA DE ENTREGA|01/04/2024|20:04|739.627.128-63|NATALIA ROCHA|66015-110|BELEM|PA|970|456.30
AA100000370BR|EXT|OBJETO EXTRAVIADO|12/05/2024|09:02|119.470.720-06|RAFAEL RODRIGUES|30130-110|BELO HORIZONTE|MG|2801|452.31
AA100000371BR|RDE|OBJETO RETORNOU AO REMETENTE|02/01/2024|22:45|776.618.306-71|LEONARDO BARBOSA|90010-160|PORTO ALEGRE|RS|3040|166.72
AA100000372BR|OEC|OBJETO EM ROTA DE ENTREGA|24/07/2024|07:40|158.517.432-80|DIEGO NASCIMENTO|66015-110|BELEM|PA|1664|149.44
AA100000373BR|IDC|OBJETO DEVOLVIDO AO REMETENTE|24/02/2024|17:31|173.203.093-76|PEDRO OLIVEIRA|29010-330|VITORIA|ES|4528|321.70
AA100000374BR|IDC|OBJETO DEVOLVIDO AO REMETENTE|30/09/2024|20:01|050.506.138-78|CARLOS LIMA|88010-400|FLORIANOPOLIS|SC|4846|116.49
AA100000375BR|BDE|OBJETO ENTREGUE AO DESTINATARIO|19/01/2024|10:31|079.032.020-41|THIAGO ARAUJO|74110-010|GOIANIA|GO|1498|417.68
AA100000376BR|BDE|OBJETO ENTREGUE AO DESTINATARIO|24/02/2024|09:31|993.136.565-19|ISABELA FREITAS|30130-110|BELO HORIZONTE|MG|2734|418.21
AA100000377BR|BDI|OBJETO SAIU PARA ENTREGA AO DESTINATARIO|24/01/2024|11:21|114.262.582-73|LEONARDO BARBOSA|01310-100|SAO PAULO|SP|1192|49.98
AA100000378BR|EXT|OBJETO EXTRAVIADO|09/11/2024|18:49|207.100.219-46|AMANDA RIBEIRO|88010-400|FLORIANOPOLIS|SC|1139|103.08
AA100000379BR|EXT|OBJETO EXTRAVIADO|18/05/2024|22:28|632.909.279-14|CAMILA MARTINS|69005-010|MANAUS|AM|137|278.86
AA100000380BR|BDI|OBJETO SAIU PARA ENTREGA AO DESTINATARIO|01/03/2024|22:06|958.837.340-31|CARLOS LIMA|66015-110|BELEM|PA|3986|248.76
AA100000381BR|BDI|OBJETO SAIU PARA ENTREGA AO DESTINATARIO|09/12/2024|07:03|543.645.970-10|ISABELA FREITAS|30130-110|BELO HORIZONTE|MG|1394|392.75
AA100000382BR|IDC|OBJETO DEVOLVIDO AO REMETENTE|20/09/2024|09:04|379.956.353-15|JULIANA ALVES|20040-020|RIO DE JANEIRO|RJ|2042|368.87
AA100000383BR|BDI|OBJETO SAIU PARA ENTREGA AO DESTINATARIO|11/07/2024|13:04|797.062.397-26|CAMILA MARTINS|30130-110|BELO HORIZONTE|MG|3849|359.91
AA100000384BR|EXT|OBJETO EXTRAVIADO|02/07/2024|14:12|520.904.217-76|FERNANDA SANTOS|29010-330|VITORIA|ES|2914|109.93
AA100000385BR|OEC|OBJETO EM ROTA DE ENTREGA|05/11/2024|11:50|929.831.687-39|AMANDA RIBEIRO|59010-000|NATAL|RN|3890|139.59
AA100000386BR|EXT|OBJETO EXTRAVIADO|07/08/2024|13:15|569.392.906-00|AMANDA RIBEIRO|88010-400|FLORIANOPOLIS|SC|4230|16.81
AA100000387BR|RDE|OBJETO RETORNOU AO REMETENTE|20/07/2024|21:51|177.318.063-25|PATRICIA LIMA|40020-010|SALVADOR|BA|843|7.97
AA100000388BR|EXT|OBJETO EXTRAVIADO|05/06/2024|11:45|799.077.262-57|JOAO DA SILVA|59010-000|NATAL|RN|679|192.44
AA100000389BR|EXT|OBJETO EXTRAVIADO|19/06/2024|22:02|464.989.319-50|GABRIEL MENDES|57020-480|MACEIO|AL|3081|443.99
AA100000390BR|BDE|OBJETO ENTREGUE AO DESTINATARIO|15/07/2024|17:29|905.528.183-25|JULIANA ALVES|90010-160|PORTO ALEGRE|RS|1030|324.52
AA100000391BR|EXT|OBJETO EXTRAVIADO|24/10/2024|12:48|355.486.401-55|THIAGO ARAUJO|50010-000|RECIFE|PE|4207|263.34
AA100000392BR|BDE|OBJETO ENTREGUE AO DESTINATARIO|28/08/2024|15:28|951.371.162-41|ANA COSTA|30130-110|BELO HORIZONTE|MG|2360|56.01
AA100000393BR|BDI|OBJETO SAIU PARA ENTREGA AO DESTINATARIO|11/09/2024|10:55|380.468.275-67|JOAO DA SILVA|60150-160|FORTALEZA|CE|1648|31.47
AA100000394BR|BDI|OBJETO SAIU PARA ENTREGA AO DESTINATARIO|23/09/2024|16:26|955.798.877-49|CARLOS LIMA|57020-480|MACEIO|AL|2610|85.87
AA100000395BR|OEC|OBJETO EM ROTA DE ENTREGA|26/04/2024|21:23|402.547.292-84|FERNANDA SANTOS|30130-110|BELO HORIZONTE|MG|1357|80.63
AA100000396BR|BDE|OBJETO ENTREGUE AO DESTINATARIO|22/01/2024|16:36|274.523.805-52|CAMILA MARTINS|50010-000|RECIFE|PE|4522|487.73
AA100000397BR|RDE|OBJETO RETORNOU AO REMETENTE|03/06/2024|09:58|067.275.208-85|PATRICIA LIMA|50010-000|RECIFE|PE|2474|484.80
AA100000398BR|RDE|OBJETO RETORNOU AO REMETENTE|07/12/2024|10:51|975.170.281-40|DIEGO NASCIMENTO|74110-010|GOIANIA|GO|1905|222.99
AA100000399BR|BDE|OBJETO ENTREGUE AO DESTINATARIO|16/06/2024|07:38|398.343.018-71|GABRIEL MENDES|69005-010|MANAUS|AM|1692|245.23
AA100000400BR|RDE|OBJETO RETORNOU AO REMETENTE|05/11/2024|22:03|562.656.504-55|PATRICIA LIMA|50010-000|RECIFE|PE|4695|43.80
AA100000401BR|EXT|OBJETO EXTRAVIADO|15/08/2024|19:51|742.662.991-23|PATRICIA LIMA|50010-000|RECIFE|PE|4403|493.32
AA100000402BR|BDE|OBJETO ENTREGUE AO DESTINATARIO|29/10/2024|18:05|064.628.792-32|DIEGO NASCIMENTO|60150-160|FORTALEZA|CE|4637|245.29
AA100000403BR|OEC|OBJETO EM ROTA DE ENTREGA|26/10/2024|15:31|873.002.447-14|LARISSA CARVALHO|30130-110|BELO HORIZONTE|MG|4129|453.40
AA100000404BR|EXT|OBJETO EXTRAVIADO|05/05/2024|06:07|471.959.796-47|ANA COSTA|80010-010|CURITIBA|PR|4298|366.48
AA100000405BR|BDE|OBJETO ENTREGUE AO DESTINATARIO|12/05/2024|11:37|025.725.204-56|CAMILA MARTINS|01310-100|SAO PAULO|SP|2474|145.83
AA100000406BR|EXT|OBJETO EXTRAVIADO|09/02/2024|22:12|219.285.544-51|ISABELA FREITAS|74110-010|GOIANIA|GO|2980|411.66
AA100000407BR|BDE|OBJETO ENTREGUE AO DESTINATARIO|11/03/2024|22:18|576.521.328-33|ISABELA FREITAS|74110-010|GOIANIA|GO|4406|423.03
AA100000408BR|EXT|OBJETO EXTRAVIADO|09/10/2024|09:26|711.207.545-27|NATALIA ROCHA|90010-160|PORTO ALEGRE|RS|2902|86.10
AA100000409BR|OEC|OBJETO EM ROTA DE ENTREGA|15/01/2024|09:14|223.423.216-11|JOAO DA SILVA|29010-330|VITORIA|ES|4067|378.67
AA100000410BR|BDE|OBJETO ENTREGUE AO DESTINATARIO|10/04/2024|09:02|890.714.014-01|ANA COSTA|57020-480|MACEIO|AL|1782|293.80
AA100000411BR|BDI|OBJETO SAIU PARA ENTREGA AO DESTINATARIO|04/04/2024|17:01|124.955.289-38|LEONARDO BARBOSA|20040-020|RIO DE JANEIRO|RJ|911|409.79
AA100000412BR|BDE|OBJETO ENTREGUE AO DESTINATARIO|27/09/2024|12:45|342.801.387-59|FERNANDA SANTOS|50010-000|RECIFE|PE|979|90.42
AA100000413BR|OEC|OBJETO EM ROTA DE ENTREGA|13/07/2024|19:13|836.151.718-27|CAMILA MARTINS|88010-400|FLORIANOPOLIS|SC|2461|278.57
AA100000414BR|BDE|OBJETO ENTREGUE AO DESTINATARIO|12/02/2024|16:31|164.794.738-64|LARISSA CARVALHO|40020-010|SALVADOR|BA|670|447.38
AA100000415BR|IDC|OBJETO DEVOLVIDO AO REMETENTE|13/12/2024|17:11|071.678.112-66|LEONARDO BARBOSA|20040-020|RIO DE JANEIRO|RJ|1482|32.36
AA100000416BR|BDI|OBJETO SAIU PARA ENTREGA AO DESTINATARIO|22/06/2024|12:38|613.674.994-65|AMANDA RIBEIRO|66015-110|BELEM|PA|3413|493.76
AA100000417BR|RDE|OBJETO RETORNOU AO REMETENTE|22/05/2024|10:49|711.477.320-10|PEDRO OLIVEIRA|50010-000|RECIFE|PE|319|486.04
AA100000418BR|IDC|OBJETO DEVOLVIDO AO REMETENTE|05/11/2024|16:09|499.118.773-47|AMANDA RIBEIRO|90010-160|PORTO ALEGRE|RS|2243|271.22
AA100000419BR|RDE|OBJETO RETORNOU AO REMETENTE|06/10/2024|06:48|061.675.677-00|FERNANDA SANTOS|90010-160|PORTO ALEGRE|RS|2582|442.35
AA100000420BR|BDI|OBJETO SAIU PARA ENTREGA AO DESTINATARIO|08/09/2024|19:08|467.197.889-77|ISABELA FREITAS|59010-000|NATAL|RN|1380|253.34
AA100000421BR|IDC|OBJETO DEVOLVIDO AO REMETENTE|14/05/2024|21:37|695.450.090-25|CAMILA MARTINS|29010-330|VITORIA|ES|4883|13.45
AA100000422BR|EXT|OBJETO EXTRAVIADO|23/06/2024|18:06|655.650.333-49|PEDRO OLIVEIRA|57020-480|MACEIO|AL|636|434.47
AA100000423BR|BDE|OBJETO ENTREGUE AO DESTINATARIO|21/06/2024|11:01|850.769.864-07|LEONARDO BARBOSA|01310-100|SAO PAULO|SP|2692|188.87
AA100000424BR|IDC|OBJETO DEVOLVIDO AO REMETENTE|14/06/2024|09:51|713.578.529-45|LARISSA CARVALHO|40020-010|SALVADOR|BA|4171|317.72
AA100000425BR|BDE|OBJETO ENTREGUE AO DESTINATARIO|01/10/2024|12:18|404.963.919-19|BRUNO FERREIRA|60150-160|FORTALEZA|CE|651|283.21
AA100000426BR|RDE|OBJETO RETORNOU AO REMETENTE|31/08/2024|19:13|514.846.853-66|RAFAEL RODRIGUES|74110-010|GOIANIA|GO|4321|226.61
AA100000427BR|RDE|OBJETO RETORNOU AO REMETENTE|02/04/2024|06:40|829.737.489-69|MARIA SOUZA|90010-160|PORTO ALEGRE|RS|1743|182.14
AA100000428BR|BDI|OBJETO SAIU PARA ENTREGA AO DESTINATARIO|03/05/2024|10:47|466.513.644-24|NATALIA ROCHA|40020-010|SALVADOR|BA|3424|119.24
AA100000429BR|BDI|OBJETO SAIU PARA ENTREGA AO DESTINATARIO|08/04/2024|06:15|477.866.032-42|JOAO DA SILVA|60150-160|FORTALEZA|CE|2375|329.34
AA100000430BR|BDI|OBJETO SAIU PARA ENTREGA AO DESTINATARIO|25/11/2024|07:46|700.159.416-51|DIEGO NASCIMENTO|59010-000|NATAL|RN|1251|118.02
AA100000431BR|RDE|OBJETO RETORNOU AO REMETENTE|13/09/2024|09:33|984.713.915-59|DIEGO NASCIMENTO|29010-330|VITORIA|ES|2032|467.75
AA100000432BR|BDI|OBJETO SAIU PARA ENTREGA AO DESTINATARIO|14/03/2024|09:11|347.649.078-51|BRUNO FERREIRA|90010-160|PORTO ALEGRE|RS|3571|237.43
AA100000433BR|BDI|OBJETO SAIU PARA ENTREGA AO DESTINATARIO|22/05/2024|10:23|754.090.034-86|PATRICIA LIMA|66015-110|BELEM|PA|3072|451.58
AA100000434BR|EXT|OBJETO EXTRAVIADO|03/03/2024|13:54|760.644.134-32|THIAGO ARAUJO|66015-110|BELEM|PA|2698|439.73
AA100000435BR|EXT|OBJETO EXTRAVIADO|27/07/2024|07:17|177.656.124-81|CAMILA MARTINS|69005-010|MANAUS|AM|4586|368.89
AA100000436BR|IDC|OBJETO DEVOLVIDO AO REMETENTE|21/12/2024|06:48|027.206.345-91|ANA COSTA|30130-110|BELO HORIZONTE|MG|2144|258.18
AA100000437BR|EXT|OBJETO EXTRAVIADO|07/03/2024|19:50|577.242.954-31|LARISSA CARVALHO|80010-010|CURITIBA|PR|1590|196.75
AA100000438BR|IDC|OBJETO DEVOLVIDO AO REMETENTE|19/10/2024|13:01|089.317.342-06|NATALIA ROCHA|69005-010|MANAUS|AM|2231|74.63
AA100000439BR|OEC|OBJETO EM ROTA DE ENTREGA|28/03/2024|09:00|867.713.334-47|DIEGO NASCIMENTO|30130-110|BELO HORIZONTE|MG|3633|428.17
AA100000440BR|RDE|OBJETO RETORNOU AO REMETENTE|20/04/2024|15:46|362.620.443-97|JULIANA ALVES|80010-010|CURITIBA|PR|4875|342.13
AA100000441BR|IDC|OBJETO DEVOLVIDO AO REMETENTE|13/02/2024|06:30|256.366.941-18|MARIA SOUZA|01310-100|SAO PAULO|SP|2826|465.53
AA100000442BR|IDC|OBJETO DEVOLVIDO AO REMETENTE|30/06/2024|07:00|489.646.528-09|FERNANDA SANTOS|60150-160|FORTALEZA|CE|1491|251.87
AA100000443BR|OEC|OBJETO EM ROTA DE ENTREGA|27/08/2024|10:05|586.241.502-74|CAMILA MARTINS|57020-480|MACEIO|AL|3623|141.46
AA100000444BR|OEC|OBJETO EM ROTA DE ENTREGA|09/11/2024|14:33|562.572.870-32|MARIA SOUZA|40020-010|SALVADOR|BA|1600|17.93
AA100000445BR|OEC|OBJETO EM ROTA DE ENTREGA|24/03/2024|20:27|170.758.777-12|ANA COSTA|80010-010|CURITIBA|PR|866|101.87
AA100000446BR|OEC|OBJETO EM ROTA DE ENTREGA|02/04/2024|11:47|849.939.089-26|PEDRO OLIVEIRA|40020-010|SALVADOR|BA|4180|338.45
AA100000447BR|OEC|OBJETO EM ROTA DE ENTREGA|14/01/2024|15:43|165.915.201-77|THIAGO ARAUJO|66015-110|BELEM|PA|2306|297.10
AA100000448BR|BDE|OBJETO ENTREGUE AO DESTINATARIO|17/06/2024|07:41|975.923.045-01|ISABELA FREITAS|74110-010|GOIANIA|GO|3224|46.28
AA100000449BR|OEC|OBJETO EM ROTA DE ENTREGA|01/04/2024|13:49|610.326.642-14|AMANDA RIBEIRO|29010-330|VITORIA|ES|3641|367.94
AA100000450BR|OEC|OBJETO EM ROTA DE ENTREGA|16/12/2024|10:22|158.377.674-99|LARISSA CARVALHO|20040-020|RIO DE JANEIRO|RJ|3561|405.50
AA100000451BR|RDE|OBJETO RETORNOU AO REMETENTE|05/04/2024|19:40|610.857.327-88|PEDRO OLIVEIRA|60150-160|FORTALEZA|CE|3935|218.68
AA100000452BR|IDC|OBJETO DEVOLVIDO AO REMETENTE|02/06/2024|10:08|438.649.081-08|ANA COSTA|90010-160|PORTO ALEGRE|RS|3580|206.51
AA100000453BR|IDC|OBJETO DEVOLVIDO AO REMETENTE|04/12/2024|14:22|491.801.722-60|PEDRO OLIVEIRA|69005-010|MANAUS|AM|2538|156.97
AA100000454BR|EXT|OBJETO EXTRAVIADO|20/08/2024|20:39|452.321.941-68|JOAO DA SILVA|01310-100|SAO PAULO|SP|3335|58.34
AA100000455BR|BDI|OBJETO SAIU PARA ENTREGA AO DESTINATARIO|01/12/2024|21:29|697.499.564-12|CARLOS LIMA|01310-100|SAO PAULO|SP|1663|55.96
AA100000456BR|BDE|OBJETO ENTREGUE AO DESTINATARIO|22/12/2024|12:54|037.236.831-47|CARLOS LIMA|50010-000|RECIFE|PE|3556|10.91
AA100000457BR|BDI|OBJETO SAIU PARA ENTREGA AO DESTINATARIO|19/03/2024|20:31|707.933.496-05|JOAO DA SILVA|20040-020|RIO DE JANEIRO|RJ|3637|489.74
AA100000458BR|IDC|OBJETO DEVOLVIDO AO REMETENTE|23/10/2024|15:02|767.899.730-80|LARISSA CARVALHO|74110-010|GOIANIA|GO|2687|276.63
AA100000459BR|OEC|OBJETO EM ROTA DE ENTREGA|27/11/2024|19:56|717.957.602-43|AMANDA RIBEIRO|80010-010|CURITIBA|PR|3689|116.05
AA100000460BR|BDI|OBJETO SAIU PARA ENTREGA AO DESTINATARIO|27/10/2024|16:58|972.466.572-93|PATRICIA LIMA|88010-400|FLORIANOPOLIS|SC|806|333.53
AA100000461BR|BDI|OBJETO SAIU PARA ENTREGA AO DESTINATARIO|29/03/2024|12:10|971.674.338-00|CAMILA MARTINS|57020-480|MACEIO|AL|2236|178.52
AA100000462BR|BDI|OBJETO SAIU PARA ENTREGA AO DESTINATARIO|30/03/2024|22:02|156.193.183-74|BRUNO FERREIRA|29010-330|VITORIA|ES|3010|384.69
AA100000463BR|RDE|OBJETO RETORNOU AO REMETENTE|16/05/2024|10:54|891.077.119-91|ISABELA FREITAS|01310-100|SAO PAULO|SP|4255|52.71
AA100000464BR|EXT|OBJETO EXTRAVIADO|01/03/2024|12:58|524.787.125-52|ANA COSTA|59010-000|NATAL|RN|1753|219.55
AA100000465BR|IDC|OBJETO DEVOLVIDO AO REMETENTE|04/01/2024|13:53|754.821.456-53|CARLOS LIMA|29010-330|VITORIA|ES|4438|210.86
AA100000466BR|BDI|OBJETO SAIU PARA ENTREGA AO DESTINATARIO|11/03/2024|19:26|678.507.208-11|BRUNO FERREIRA|80010-010|CURITIBA|PR|3390|490.97
AA100000467BR|BDI|OBJETO SAIU PARA ENTREGA AO DESTINATARIO|10/08/2024|07:25|029.084.668-45|CAMILA MARTINS|01310-100|SAO PAULO|SP|2391|450.10
AA100000468BR|RDE|OBJETO RETORNOU AO REMETENTE|16/03/2024|18:28|389.975.634-10|ISABELA FREITAS|80010-010|CURITIBA|PR|3294|362.55
AA100000469BR|EXT|OBJETO EXTRAVIADO|05/03/2024|22:34|431.884.852-00|ISABELA FREITAS|74110-010|GOIANIA|GO|2219|120.67
AA100000470BR|OEC|OBJETO EM ROTA DE ENTREGA|04/08/2024|22:07|054.851.017-49|JOAO DA SILVA|50010-000|RECIFE|PE|2876|491.48
AA100000471BR|EXT|OBJETO EXTRAVIADO|24/10/2024|13:22|449.268.315-89|LUCAS PEREIRA|59010-000|NATAL|RN|3059|227.15
AA100000472BR|BDI|OBJETO SAIU PARA ENTREGA AO DESTINATARIO|30/12/2024|19:53|611.062.737-15|GABRIEL MENDES|69005-010|MANAUS|AM|4918|279.48
AA100000473BR|IDC|OBJETO DEVOLVIDO AO REMETENTE|15/05/2024|21:40|677.622.827-72|GABRIEL MENDES|59010-000|NATAL|RN|4434|59.03
AA100000474BR|BDI|OBJETO SAIU PARA ENTREGA AO DESTINATARIO|21/08/2024|21:02|285.196.115-94|MARIA SOUZA|90010-160|PORTO ALEGRE|RS|1355|58.87
AA100000475BR|OEC|OBJETO EM ROTA DE ENTREGA|10/07/2024|15:18|702.296.044-32|AMANDA RIBEIRO|01310-100|SAO PAULO|SP|1102|273.77
AA100000476BR|BDE|OBJETO ENTREGUE AO DESTINATARIO|23/01/2024|19:30|949.756.792-28|THIAGO ARAUJO|29010-330|VITORIA|ES|3785|333.61
