NR_CONHECIMENTO,DT_OCORRENCIA,HR_OCORRENCIA,CD_OCORRENCIA,DS_OCORRENCIA,NR_CPF_CNPJ,NM_DESTINATARIO,NR_CEP,NM_CIDADE,SG_UF,VL_FRETE,VL_MERCADORIA,NR_TENTATIVA
JL9000000350,2024-08-05,22:15:00,S,SAIU PARA ENTREGA,77306718222667,LEONARDO BARBOSA,66015110,BELEM,PA,28.25,40.64,1
JL9000000351,2024-01-09,22:28:00,E,EXTRAVIO,65385906739,LARISSA CARVALHO,40020010,SALVADOR,BA,29.94,406.60,1
JL9000000352,2024-12-22,22:44:00,E,EXTRAVIO,87605504922,ANA COSTA,88010400,FLORIANOPOLIS,SC,40.79,131.18,1
JL9000000353,2024-10-14,19:48:00,R,DEVOLVIDO AO REMETENTE,86706632016,FERNANDA SANTOS,74110010,GOIANIA,GO,75.03,338.08,1
JL9000000354,2024-01-08,21:12:00,E,EXTRAVIO,89198271826,BRUNO FERREIRA,57020480,MACEIO,AL,63.40,386.31,1
JL9000000355,2024-04-29,20:05:00,T,EM TRANSFERENCIA,08649426942,JOAO DA SILVA,40020010,SALVADOR,BA,59.69,295.68,1
JL9000000356,2024-12-17,13:56:00,D,ENTREGUE,35490145996,THIAGO ARAUJO,01310100,SAO PAULO,SP,79.56,299.41,1
JL9000000357,2024-02-02,16:52:00,E,EXTRAVIO,05498243884,JULIANA ALVES,29010330,VITORIA,ES,11.91,73.35,1
JL9000000358,2024-12-21,08:29:00,R,DEVOLVIDO AO REMETENTE,67806643158,LEONARDO BARBOSA,59010000,NATAL,RN,62.40,451.47,1
JL9000000359,2024-01-27,09:24:00,R,DEVOLVIDO AO REMETENTE,92815037017,MARIA SOUZA,57020480,MACEIO,AL,51.13,78.04,1
JL9000000360,2024-11-18,15:02:00,T,EM TRANSFERENCIA,30880817262,GABRIEL MENDES,30130110,BELO HORIZONTE,MG,51.25,207.31,1
JL9000000361,2024-03-30,15:53:00,V,TENTATIVA SEM SUCESSO - AUSENTE,50072889592,THIAGO ARAUJO,66015110,BELEM,PA,27.84,37.63,2
JL9000000362,2024-10-03,06:27:00,E,EXTRAVIO,96127662080,GABRIEL MENDES,30130110,BELO HORIZONTE,MG,68.53,120.05,1
JL9000000363,2024-03-02,20:03:00,R,DEVOLVIDO AO REMETENTE,26344435962,RAFAEL RODRIGUES,80010010,CURITIBA,PR,79.88,340.23,1
JL9000000364,2024-09-05,06:05:00,S,SAIU PARA ENTREGA,42425369091237,CAMILA MARTINS,40020010,SALVADOR,BA,8.64,275.66,1
JL9000000365,2024-05-16,20:25:00,R,DEVOLVIDO AO REMETENTE,96702436524055,JULIANA ALVES,88010400,FLORIANOPOLIS,SC,63.02,127.92,1
JL9000000366,2024-02-10,20:50:00,V,TENTATIVA SEM SUCESSO - AUSENTE,40364882159,THIAGO ARAUJO,50010000,RECIFE,PE,25.91,184.72,2
JL9000000367,2024-12-30,18:26:00,S,SAIU PARA ENTREGA,23606679986,PATRICIA LIMA,74110010,GOIANIA,GO,13.31,186.42,1
JL9000000368,2024-06-07,21:58:00,R,DEVOLVIDO AO REMETENTE,20429862269,NATALIA ROCHA,30130110,BELO HORIZONTE,MG,8.80,208.48,1
JL9000000369,2024-02-07,20:59:00,E,EXTRAVIO,23569992998,JULIANA ALVES,40020010,SALVADOR,BA,31.08,276.42,1
JL9000000370,2024-09-01,18:35:00,E,EXTRAVIO,77925604134,GABRIEL MENDES,30130110,BELO HORIZONTE,MG,11.52,473.76,1
JL9000000371,2024-05-08,13:06:00,V,TENTATIVA SEM SUCESSO - AUSENTE,83912260001,PATRICIA LIMA,60150160,FORTALEZA,CE,11.58,489.44,2
JL9000000372,2024-12-23,20:59:00,T,EM TRANSFERENCIA,91430491341038,LEONARDO BARBOSA,50010000,RECIFE,PE,31.14,450.57,1
JL9000000373,2024-10-05,21:08:00,D,ENTREGUE,86564224059,CARLOS LIMA,01310100,SAO PAULO,SP,45.34,116.77,1
JL9000000374,2024-04-28,06:36:00,T,EM TRANSFERENCIA,69194896298,MARIA SOUZA,66015110,BELEM,PA,79.12,185.01,1
JL9000000375,2024-09-30,10:56:00,D,ENTREGUE,53079661869572,PATRICIA LIMA,59010000,NATAL,RN,68.96,154.81,1
JL9000000376,2024-06-06,21:16:00,D,ENTREGUE,53137956100,AMANDA RIBEIRO,50010000,RECIFE,PE,43.70,321.18,1
JL9000000377,2024-02-07,21:22:00,D,ENTREGUE,19202599919,LUCAS PEREIRA,90010160,PORTO ALEGRE,RS,42.87,104.98,1
JL9000000378,2024-01-21,12:19:00,R,DEVOLVIDO AO REMETENTE,44474890476078,LARISSA CARVALHO,59010000,NATAL,RN,17.26,112.75,1
JL9000000379,2024-02-03,06:44:00,T,EM TRANSFERENCIA,19170851732,ISABELA FREITAS,74110010,GOIANIA,GO,32.99,133.99,1
JL9000000380,2024-07-15,12:16:00,D,ENTREGUE,18580558115,THIAGO ARAUJO,60150160,FORTALEZA,CE,27.53,400.38,1
JL9000000381,2024-07-19,17:15:00,E,EXTRAVIO,60770040930,PATRICIA LIMA,80010010,CURITIBA,PR,72.28,58.61,1
JL9000000382,2024-05-21,06:48:00,S,SAIU PARA ENTREGA,82218039662,MARIA SOUZA,40020010,SALVADOR,BA,44.99,457.67,1
JL9000000383,2024-10-05,18:43:00,V,TENTATIVA SEM SUCESSO - AUSENTE,07880265295,PEDRO OLIVEIRA,57020480,MACEIO,AL,35.51,346.02,2
JL9000000384,2024-12-29,12:55:00,S,SAIU PARA ENTREGA,56230397440,GABRIEL MENDES,57020480,MACEIO,AL,44.52,26.71,1
JL9000000385,2024-08-09,21:02:00,E,EXTRAVIO,98709201991,ISABELA FREITAS,59010000,NATAL,RN,60.05,346.38,1
JL9000000386,2024-05-24,13:05:00,D,ENTREGUE,26611584858052,DIEGO NASCIMENTO,40020010,SALVADOR,BA,21.43,59.65,1
JL9000000387,2024-10-31,18:02:00,V,TENTATIVA SEM SUCESSO - AUSENTE,22053970774,CAMILA MARTINS,88010400,FLORIANOPOLIS,SC,28.05,240.12,2
JL9000000388,2024-12-23,07:55:00,E,EXTRAVIO,23171461995,JULIANA ALVES,74110010,GOIANIA,GO,27.61,438.20,1
JL9000000389,2024-09-05,18:26:00,S,SAIU PARA ENTREGA,23596053026,PEDRO OLIVEIRA,88010400,FLORIANOPOLIS,SC,46.49,8.22,1
JL9000000390,2024-07-10,21:52:00,E,EXTRAVIO,03686050630,DIEGO NASCIMENTO,69005010,MANAUS,AM,25.19,414.62,1
JL9000000391,2024-07-08,07:08:00,R,DEVOLVIDO AO REMETENTE,16409891039,MARIA SOUZA,74110010,GOIANIA,GO,16.52,82.45,1
JL9000000392,2024-05-01,06:09:00,V,TENTATIVA SEM SUCESSO - AUSENTE,94523759795319,FERNANDA SANTOS,69005010,MANAUS,AM,11.00,311.64,2
JL9000000393,2024-09-30,19:02:00,S,SAIU PARA ENTREGA,75745449205,PATRICIA LIMA,88010400,FLORIANOPOLIS,SC,48.09,302.49,1
JL9000000394,2024-12-21,15:59:00,V,TENTATIVA SEM SUCESSO - AUSENTE,11808189655,GABRIEL MENDES,40020010,SALVADOR,BA,28.40,419.48,2
JL9000000395,2024-05-24,16:25:00,T,EM TRANSFERENCIA,29521797056603,LARISSA CARVALHO,20040020,RIO DE JANEIRO,RJ,66.38,420.18,1
JL9000000396,2024-06-07,19:01:00,T,EM TRANSFERENCIA,72660235158501,CAMILA MARTINS,40020010,SALVADOR,BA,57.02,33.93,1
JL9000000397,2024-04-27,08:27:00,T,EM TRANSFERENCIA,56058790522,RAFAEL RODRIGUES,60150160,FORTALEZA,CE,13.40,122.65,1
JL9000000398,2024-06-16,15:28:00,E,EXTRAVIO,64531579057,ANA COSTA,74110010,GOIANIA,GO,75.22,39.98,1
JL9000000399,2024-11-25,22:40:00,E,EXTRAVIO,64693656183,LUCAS PEREIRA,57020480,MACEIO,AL,31.20,303.64,1
JL9000000400,2024-05-15,20:25:00,E,EXTRAVIO,57023771843,JOAO DA SILVA,29010330,VITORIA,ES,54.25,281.83,1
JL9000000401,2024-03-24,06:38:00,V,TENTATIVA SEM SUCESSO - AUSENTE,33329732396,PATRICIA LIMA,60150160,FORTALEZA,CE,10.87,434.29,2
JL9000000402,2024-03-09,16:15:00,S,SAIU PARA ENTREGA,76992427739,FERNANDA SANTOS,40020010,SALVADOR,BA,59.91,433.73,1
JL9000000403,2024-11-29,10:02:00,S,SAIU PARA ENTREGA,20914016933,FERNANDA SANTOS,90010160,PORTO ALEGRE,RS,28.08,69.15,1
JL9000000404,2024-06-01,21:42:00,D,ENTREGUE,82907551545,CARLOS LIMA,57020480,MACEIO,AL,36.01,457.42,1
JL9000000405,2024-08-14,16:27:00,E,EXTRAVIO,91383100643,LUCAS PEREIRA,66015110,BELEM,PA,19.14,386.73,1
JL9000000406,2024-08-09,10:58:00,S,SAIU PARA ENTREGA,77331680664,AMANDA RIBEIRO,01310100,SAO PAULO,SP,74.64,221.47,1
JL9000000407,2024-04-16,17:03:00,S,SAIU PARA ENTREGA,05952984241,MARIA SOUZA,66015110,BELEM,PA,42.05,354.03,1
JL9000000408,2024-01-28,10:57:00,T,EM TRANSFERENCIA,67582676259,JOAO DA SILVA,59010000,NATAL,RN,74.67,415.20,1
JL9000000409,2024-01-08,07:15:00,R,DEVOLVIDO AO REMETENTE,85646149745,NATALIA ROCHA,50010000,RECIFE,PE,54.49,104.43,1
JL9000000410,2024-09-24,12:37:00,R,DEVOLVIDO AO REMETENTE,79849149860,LEONARDO BARBOSA,88010400,FLORIANOPOLIS,SC,52.66,157.50,1
JL9000000411,2024-06-09,06:55:00,V,TENTATIVA SEM SUCESSO - AUSENTE,32664322394,DIEGO NASCIMENTO,20040020,RIO DE JANEIRO,RJ,17.41,78.47,2
JL9000000412,2024-10-07,08:42:00,D,ENTREGUE,48534001276,FERNANDA SANTOS,30130110,BELO HORIZONTE,MG,73.49,408.31,1
JL9000000413,2024-09-28,15:31:00,V,TENTATIVA SEM SUCESSO - AUSENTE,25678718882237,GABRIEL MENDES,66015110,BELEM,PA,47.31,241.54,2
JL9000000414,2024-06-17,15:04:00,T,EM TRANSFERENCIA,61349564799,ISABELA FREITAS,59010000,NATAL,RN,77.73,195.71,1
JL9000000415,2024-12-13,16:32:00,T,EM TRANSFERENCIA,94963830972,LUCAS PEREIRA,69005010,MANAUS,AM,65.89,25.35,1
JL9000000416,2024-10-05,07:36:00,S,SAIU PARA ENTREGA,66201655578,LARISSA CARVALHO,60150160,FORTALEZA,CE,31.80,332.75,1
JL9000000417,2024-09-24,18:20:00,V,TENTATIVA SEM SUCESSO - AUSENTE,57512476400,MARIA SOUZA,69005010,MANAUS,AM,45.71,168.79,2
JL9000000418,2024-07-31,22:54:00,S,SAIU PARA ENTREGA,05166545122,RAFAEL RODRIGUES,59010000,NATAL,RN,29.78,34.36,1
JL9000000419,2024-09-19,21:59:00,V,TENTATIVA SEM SUCESSO - AUSENTE,33868608357017,JOAO DA SILVA,40020010,SALVADOR,BA,37.39,22.79,2
JL9000000420,2024-11-14,15:51:00,V,TENTATIVA SEM SUCESSO - AUSENTE,38602050898309,RAFAEL RODRIGUES,88010400,FLORIANOPOLIS,SC,12.98,134.56,2
JL9000000421,2024-10-23,06:37:00,T,EM TRANSFERENCIA,97979724528,RAFAEL RODRIGUES,20040020,RIO DE JANEIRO,RJ,23.10,194.62,1
JL9000000422,2024-05-18,22:00:00,V,TENTATIVA SEM SUCESSO - AUSENTE,07356748095,AMANDA RIBEIRO,66015110,BELEM,PA,54.02,111.39,2
JL9000000423,2024-05-08,06:56:00,V,TENTATIVA SEM SUCESSO - AUSENTE,80260294420,JULIANA ALVES,20040020,RIO DE JANEIRO,RJ,33.47,265.22,2
JL9000000424,2024-03-12,16:33:00,V,TENTATIVA SEM SUCESSO - AUSENTE,07342031977,AMANDA RIBEIRO,60150160,FORTALEZA,CE,46.35,230.14,2
JL9000000425,2024-11-08,17:07:00,R,DEVOLVIDO AO REMETENTE,86482308829,BRUNO FERREIRA,29010330,VITORIA,ES,54.18,436.90,1
JL9000000426,2024-12-22,22:51:00,V,TENTATIVA SEM SUCESSO - AUSENTE,62332605869427,LARISSA CARVALHO,59010000,NATAL,RN,42.60,464.05,2
JL9000000427,2024-04-17,09:54:00,T,EM TRANSFERENCIA,06629315181788,CARLOS LIMA,60150160,FORTALEZA,CE,64.08,443.18,1
JL9000000428,2024-07-04,16:36:00,V,TENTATIVA SEM SUCESSO - AUSENTE,89062327237,ANA COSTA,50010000,RECIFE,PE,52.98,472.92,2
JL9000000429,2024-01-14,10:56:00,S,SAIU PARA ENTREGA,90065487084,THIAGO ARAUJO,50010000,RECIFE,PE,49.83,351.63,1
JL9000000430,2024-02-06,20:26:00,T,EM TRANSFERENCIA,39818890737,GABRIEL MENDES,20040020,RIO DE JANEIRO,RJ,33.40,32.40,1
JL9000000431,2024-09-09,07:35:00,E,EXTRAVIO,89626838488,THIAGO ARAUJO,69005010,MANAUS,AM,22.79,11.43,1
JL9000000432,2024-03-20,06:43:00,T,EM TRANSFERENCIA,23961219051,ISABELA FREITAS,57020480,MACEIO,AL,66.12,49.88,1
JL9000000433,2024-10-17,22:41:00,T,EM TRANSFERENCIA,18207066901,MARIA SOUZA,50010000,RECIFE,PE,50.20,109.72,1
JL9000000434,2024-03-16,10:24:00,E,EXTRAVIO,33486497035,MARIA SOUZA,69005010,MANAUS,AM,43.34,230.12,1
JL9000000435,2024-11-10,19:55:00,E,EXTRAVIO,33557077312,LUCAS PEREIRA,20040020,RIO DE JANEIRO,RJ,31.25,170.13,1
JL9000000436,2024-01-22,16:28:00,R,DEVOLVIDO AO REMETENTE,52187993844,RAFAEL RODRIGUES,01310100,SAO PAULO,SP,30.40,490.93,1
JL9000000437,2024-10-02,12:06:00,D,ENTREGUE,47012350368,THIAGO ARAUJO,20040020,RIO DE JANEIRO,RJ,31.35,375.03,1
JL9000000438,2024-09-30,08:47:00,D,ENTREGUE,77978023445,LARISSA CARVALHO,90010160,PORTO ALEGRE,RS,29.02,206.01,1
JL9000000439,2024-08-30,15:01:00,S,SAIU PARA ENTREGA,66401632957,LUCAS PEREIRA,29010330,VITORIA,ES,43.90,330.95,1
JL9000000440,2024-03-01,17:37:00,T,EM TRANSFERENCIA,29273186830,CARLOS LIMA,74110010,GOIANIA,GO,67.75,165.71,1
JL9000000441,2024-07-07,15:41:00,S,SAIU PARA ENTREGA,33241651854,ISABELA FREITAS,40020010,SALVADOR,BA,49.98,398.55,1
JL9000000442,2024-01-13,20:58:00,S,SAIU PARA ENTREGA,67462159584,PEDRO OLIVEIRA,57020480,MACEIO,AL,53.15,133.87,1
JL9000000443,2024-11-08,09:27:00,D,ENTREGUE,50221816981,PATRICIA LIMA,57020480,MACEIO,AL,79.89,113.96,1
JL9000000444,2024-06-02,14:42:00,T,EM TRANSFERENCIA,09483774029,CARLOS LIMA,90010160,PORTO ALEGRE,RS,37.16,332.22,1
JL9000000445,2024-05-03,12:49:00,D,ENTREGUE,65099621836,DIEGO NASCIMENTO,50010000,RECIFE,PE,41.10,299.89,1
JL9000000446,2024-07-12,19:26:00,T,EM TRANSFERENCIA,02563420222,JULIANA ALVES,60150160,FORTALEZA,CE,52.19,272.11,1
JL9000000447,2024-02-07,12:46:00,T,EM TRANSFERENCIA,83675901779,PEDRO OLIVEIRA,80010010,CURITIBA,PR,18.78,152.21,1
JL9000000448,2024-07-25,09:17:00,V,TENTATIVA SEM SUCESSO - AUSENTE,23351746564260,ANA COSTA,90010160,PORTO ALEGRE,RS,35.63,244.81,2
JL9000000449,2024-03-06,18:13:00,D,ENTREGUE,56955922776,RAFAEL RODRIGUES,29010330,VITORIA,ES,14.67,303.93,1
JL9000000450,2024-01-14,12:59:00,E,EXTRAVIO,25513444867,CARLOS LIMA,30130110,BELO HORIZONTE,MG,46.41,267.97,1
JL9000000451,2024-10-20,06:19:00,T,EM TRANSFERENCIA,31454615749,LUCAS PEREIRA,30130110,BELO HORIZONTE,MG,33.75,57.23,1
JL9000000452,2024-12-22,20:33:00,E,EXTRAVIO,53120409543,THIAGO ARAUJO,50010000,RECIFE,PE,54.85,212.46,1
JL9000000453,2024-09-20,12:03:00,R,DEVOLVIDO AO REMETENTE,58001873143,LEONARDO BARBOSA,20040020,RIO DE JANEIRO,RJ,31.37,469.16,1
JL9000000454,2024-05-08,13:27:00,T,EM TRANSFERENCIA,21078187109,DIEGO NASCIMENTO,66015110,BELEM,PA,45.76,211.62,1
JL9000000455,2024-03-06,16:48:00,T,EM TRANSFERENCIA,68026933154,FERNANDA SANTOS,88010400,FLORIANOPOLIS,SC,61.50,6.12,1
JL9000000456,2024-01-18,07:11:00,S,SAIU PARA ENTREGA,86550522411420,DIEGO NASCIMENTO,69005010,MANAUS,AM,42.59,51.55,1
JL9000000457,2024-02-08,14:20:00,R,DEVOLVIDO AO REMETENTE,20166338222,CARLOS LIMA,60150160,FORTALEZA,CE,10.69,495.61,1
JL9000000458,2024-04-28,10:11:00,R,DEVOLVIDO AO REMETENTE,56201901134843,JULIANA ALVES,74110010,GOIANIA,GO,15.27,113.91,1
JL9000000459,2024-03-30,17:11:00,E,EXTRAVIO,13239456452,LUCAS PEREIRA,60150160,FORTALEZA,CE,21.37,199.86,1
JL9000000460,2024-06-01,20:27:00,D,ENTREGUE,98663420953677,JULIANA ALVES,60150160,FORTALEZA,CE,55.65,275.07,1
JL9000000461,2024-11-16,17:11:00,E,EXTRAVIO,35615266559,PEDRO OLIVEIRA,60150160,FORTALEZA,CE,43.13,448.61,1
JL9000000462,2024-03-21,17:50:00,S,SAIU PARA ENTREGA,80966414753,JULIANA ALVES,69005010,MANAUS,AM,69.13,348.98,1
JL9000000463,2024-03-22,15:56:00,T,EM TRANSFERENCIA,46653538962,LEONARDO BARBOSA,90010160,PORTO ALEGRE,RS,71.95,373.97,1
JL9000000464,2024-03-19,15:12:00,R,DEVOLVIDO AO REMETENTE,67924157127,LARISSA CARVALHO,40020010,SALVADOR,BA,61.64,273.53,1
JL9000000465,2024-04-24,16:17:00,S,SAIU PARA ENTREGA,46858639061,DIEGO NASCIMENTO,88010400,FLORIANOPOLIS,SC,46.76,148.02,1
JL9000000466,2024-08-28,13:39:00,E,EXTRAVIO,81615381168,LUCAS PEREIRA,88010400,FLORIANOPOLIS,SC,41.26,14.61,1
JL9000000467,2024-01-12,21:51:00,S,SAIU PARA ENTREGA,60720148967,ISABELA FREITAS,57020480,MACEIO,AL,59.23,277.97,1
JL9000000468,2024-03-12,18:46:00,V,TENTATIVA SEM SUCESSO - AUSENTE,12146394762,BRUNO FERREIRA,66015110,BELEM,PA,28.01,72.07,2
JL9000000469,2024-10-23,11:24:00,R,DEVOLVIDO AO REMETENTE,63391729940,LUCAS PEREIRA,69005010,MANAUS,AM,67.09,131.13,1
JL9000000470,2024-12-06,08:42:00,D,ENTREGUE,66497196706833,BRUNO FERREIRA,40020010,SALVADOR,BA,51.21,16.43,1
JL9000000471,2024-07-18,09:10:00,V,TENTATIVA SEM SUCESSO - AUSENTE,90163994901,LUCAS PEREIRA,40020010,SALVADOR,BA,24.68,486.03,2
JL9000000472,2024-04-20,21:58:00,R,DEVOLVIDO AO REMETENTE,73481409841,MARIA SOUZA,20040020,RIO DE JANEIRO,RJ,70.28,246.81,1
JL9000000473,2024-04-20,07:04:00,V,TENTATIVA SEM SUCESSO - AUSENTE,11604991004,FERNANDA SANTOS,57020480,MACEIO,AL,73.65,75.26,2
JL9000000474,2024-10-14,19:54:00,T,EM TRANSFERENCIA,68019903421,LUCAS PEREIRA,60150160,FORTALEZA,CE,44.14,371.36,1
JL9000000475,2024-06-17,15:35:00,V,TENTATIVA SEM SUCESSO - AUSENTE,03531607917,LEONARDO BARBOSA,20040020,RIO DE JANEIRO,RJ,22.79,271.77,2
JL9000000476,2024-01-31,08:20:00,T,EM TRANSFERENCIA,17132194024702,GABRIEL MENDES,90010160,PORTO ALEGRE,RS,65.82,44.13,1
JL9000000477,2024-02-17,09:08:00,E,EXTRAVIO,45271936785,AMANDA RIBEIRO,69005010,MANAUS,AM,29.21,214.35,1
JL9000000478,2024-11-05,08:15:00,E,EXTRAVIO,10749161942,JULIANA ALVES,66015110,BELEM,PA,18.93,174.18,1
JL9000000479,2024-01-25,08:45:00,S,SAIU PARA ENTREGA,53506962616845,BRUNO FERREIRA,30130110,BELO HORIZONTE,MG,79.88,87.75,1
JL9000000480,2024-12-01,21:47:00,V,TENTATIVA SEM SUCESSO - AUSENTE,02547179899,RAFAEL RODRIGUES,90010160,PORTO ALEGRE,RS,45.85,454.91,2
JL9000000481,2024-08-06,18:38:00,V,TENTATIVA SEM SUCESSO - AUSENTE,93005195675,DIEGO NASCIMENTO,40020010,SALVADOR,BA,34.32,389.15,2
JL9000000482,2024-05-31,10:54:00,S,SAIU PARA ENTREGA,17266256504,DIEGO NASCIMENTO,59010000,NATAL,RN,8.58,11.28,1
JL9000000483,2024-01-22,08:18:00,R,DEVOLVIDO AO REMETENTE,13068624087,ANA COSTA,57020480,MACEIO,AL,8.37,484.21,1
JL9000000484,2024-07-29,19:34:00,E,EXTRAVIO,41728207623811,CAMILA MARTINS,59010000,NATAL,RN,65.08,80.67,1
JL9000000485,2024-04-27,10:35:00,S,SAIU PARA ENTREGA,82408475283599,NATALIA ROCHA,60150160,FORTALEZA,CE,10.30,136.46,1
JL9000000486,2024-01-20,14:28:00,E,EXTRAVIO,35113505357,CARLOS LIMA,30130110,BELO HORIZONTE,MG,63.16,265.31,1
JL9000000487,2024-03-08,06:50:00,T,EM TRANSFERENCIA,57809783028,JOAO DA SILVA,59010000,NATAL,RN,13.24,447.48,1
JL9000000488,2024-02-22,15:58:00,R,DEVOLVIDO AO REMETENTE,34195281447,ISABELA FREITAS,69005010,MANAUS,AM,65.59,143.92,1
JL9000000489,2024-11-17,10:35:00,D,ENTREGUE,88930635780378,LEONARDO BARBOSA,29010330,VITORIA,ES,16.31,72.95,1
JL9000000490,2024-04-23,20:16:00,S,SAIU PARA ENTREGA,69905585575,LEONARDO BARBOSA,74110010,GOIANIA,GO,30.04,384.08,1
JL9000000491,2024-10-05,14:11:00,E,EXTRAVIO,06969045289,ISABELA FREITAS,69005010,MANAUS,AM,9.06,33.34,1
JL9000000492,2024-01-25,18:21:00,T,EM TRANSFERENCIA,37457016527,LARISSA CARVALHO,20040020,RIO DE JANEIRO,RJ,74.70,209.13,1
JL9000000493,2024-10-13,08:19:00,E,EXTRAVIO,02530843769,NATALIA ROCHA,30130110,BELO HORIZONTE,MG,54.09,424.44,1
JL9000000494,2024-05-31,14:19:00,T,EM TRANSFERENCIA,72508423242,LUCAS PEREIRA,60150160,FORTALEZA,CE,44.88,383.40,1
JL9000000495,2024-05-20,08:29:00,R,DEVOLVIDO AO REMETENTE,15536915855749,JOAO DA SILVA,69005010,MANAUS,AM,20.54,249.49,1
JL9000000496,2024-07-12,06:10:00,V,TENTATIVA SEM SUCESSO - AUSENTE,70333295945231,BRUNO FERREIRA,66015110,BELEM,PA,46.72,405.22,2
JL9000000497,2024-09-25,18:14:00,D,ENTREGUE,29662991721,AMANDA RIBEIRO,60150160,FORTALEZA,CE,76.49,300.12,1
JL9000000498,2024-03-08,06:19:00,D,ENTREGUE,82153926693,AMANDA RIBEIRO,59010000,NATAL,RN,79.32,2.48,1
JL9000000499,2024-04-23,10:52:00,V,TENTATIVA SEM SUCESSO - AUSENTE,31392804850,FERNANDA SANTOS,30130110,BELO HORIZONTE,MG,11.25,47.61,2
JL9000000500,2024-10-26,07:06:00,E,EXTRAVIO,33593797190,JOAO DA SILVA,01310100,SAO PAULO,SP,54.52,91.90,1
JL9000000501,2024-10-24,16:27:00,D,ENTREGUE,25647185594,JOAO DA SILVA,88010400,FLORIANOPOLIS,SC,40.36,498.75,1
JL9000000502,2024-03-14,13:00:00,V,TENTATIVA SEM SUCESSO - AUSENTE,53231677814,BRUNO FERREIRA,69005010,MANAUS,AM,28.85,366.96,2
JL9000000503,2024-05-05,20:00:00,R,DEVOLVIDO AO REMETENTE,45391177666505,FERNANDA SANTOS,66015110,BELEM,PA,41.91,448.17,1
JL9000000504,2024-08-02,08:08:00,D,ENTREGUE,28157806190,CARLOS LIMA,30130110,BELO HORIZONTE,MG,25.71,337.59,1
JL9000000505,2024-07-19,21:40:00,E,EXTRAVIO,70676353223,AMANDA RIBEIRO,20040020,RIO DE JANEIRO,RJ,46.82,292.89,1
JL9000000506,2024-02-06,10:24:00,R,DEVOLVIDO AO REMETENTE,48563711429,PATRICIA LIMA,40020010,SALVADOR,BA,9.55,14.46,1
JL9000000507,2024-05-05,20:53:00,V,TENTATIVA SEM SUCESSO - AUSENTE,39892313246,CAMILA MARTINS,74110010,GOIANIA,GO,55.43,251.10,2
JL9000000508,2024-07-13,18:39:00,S,SAIU PARA ENTREGA,78417837659153,GABRIEL MENDES,30130110,BELO HORIZONTE,MG,10.97,49.18,1
JL9000000509,2024-05-20,06:52:00,T,EM TRANSFERENCIA,26642673512,AMANDA RIBEIRO,30130110,BELO HORIZONTE,MG,79.53,157.96,1
JL9000000510,2024-06-25,13:51:00,S,SAIU PARA ENTREGA,56569764878,PATRICIA LIMA,74110010,GOIANIA,GO,38.66,82.34,1
JL9000000511,2024-10-22,15:45:00,V,TENTATIVA SEM SUCESSO - AUSENTE,04625069296,BRUNO FERREIRA,69005010,MANAUS,AM,46.44,166.90,2
JL9000000512,2024-02-26,10:52:00,R,DEVOLVIDO AO REMETENTE,62767293509793,RAFAEL RODRIGUES,66015110,BELEM,PA,71.17,433.24,1
JL9000000513,2024-02-07,10:36:00,D,ENTREGUE,50223477804,CAMILA MARTINS,50010000,RECIFE,PE,60.06,231.82,1
JL9000000514,2024-03-11,17:07:00,E,EXTRAVIO,07033982147,ISABELA FREITAS,66015110,BELEM,PA,68.54,471.87,1
JL9000000515,2024-03-14,13:12:00,T,EM TRANSFERENCIA,20945167670,DIEGO NASCIMENTO,40020010,SALVADOR,BA,37.30,109.85,1
JL9000000516,2024-03-12,22:27:00,S,SAIU PARA ENTREGA,12200848426483,LUCAS PEREIRA,29010330,VITORIA,ES,23.30,424.56,1
JL9000000517,2024-12-11,18:01:00,E,EXTRAVIO,89671360549469,CARLOS LIMA,01310100,SAO PAULO,SP,48.48,185.24,1
JL9000000518,2024-08-02,14:36:00,R,DEVOLVIDO AO REMETENTE,13249519350,JOAO DA SILVA,20040020,RIO DE JANEIRO,RJ,15.80,165.90,1
JL9000000519,2024-07-19,09:30:00,V,TENTATIVA SEM SUCESSO - AUSENTE,80803889044,PEDRO OLIVEIRA,01310100,SAO PAULO,SP,28.29,135.97,2
JL9000000520,2024-02-02,17:25:00,T,EM TRANSFERENCIA,51353814837,PATRICIA LIMA,50010000,RECIFE,PE,31.02,252.84,1
JL9000000521,2024-04-10,07:39:00,R,DEVOLVIDO AO REMETENTE,68564717784019,MARIA SOUZA,30130110,BELO HORIZONTE,MG,71.98,395.15,1
JL9000000522,2024-12-02,09:25:00,E,EXTRAVIO,83716115866,GABRIEL MENDES,69005010,MANAUS,AM,16.12,284.38,1
JL9000000523,2024-08-28,18:28:00,V,TENTATIVA SEM SUCESSO - AUSENTE,83326170505,ISABELA FREITAS,40020010,SALVADOR,BA,34.99,127.79,2
JL9000000524,2024-11-25,08:37:00,V,TENTATIVA SEM SUCESSO - AUSENTE,72853533998,FERNANDA SANTOS,60150160,FORTALEZA,CE,19.46,200.09,2
JL9000000525,2024-03-13,09:29:00,R,DEVOLVIDO AO REMETENTE,80158466879,LUCAS PEREIRA,01310100,SAO PAULO,SP,66.66,388.18,1
JL9000000526,2024-01-04,10:50:00,E,EXTRAVIO,27276698345,PEDRO OLIVEIRA,66015110,BELEM,PA,34.71,369.33,1
